PACKING LIST,630 UNIDADES,,,,,,,,,,,,,,,
Style,Size,Description,Pallet Salida,BOX O,EAN-CODE,UPC,QTY,MEDIDAS CAJAS EN PULGADAS,,,PESO (LBS),Shipment # 1,Set Aside,FNSKU,AMAZON Labels,OTHER SKU
51791,44,ARIZONA BF BLACK,453906,3,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000013,
51791,40,ARIZONA BF BLACK,453906,4,4013871059691,736399059694,12,18,18,13,18,12,,X0054OCU8D,FBA19QHGWM04U000187,
51791,40,ARIZONA BF BLACK,453906,5,4013871059691,736399059694,12,18,18,13,18,12,,X0054OCU8D,FBA19QHGWM04U000188,
129421,44,ARIZONA EVA BLACK,453906,6,4052001426514,886454426517,8,18,18,13,12,8,,X004IWYKL7,FBA19QHGWM04U000543,
51791,39,ARIZONA BF BLACK,453906,7,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000093,
129421,44,ARIZONA EVA BLACK,453906,8,4052001426514,886454426517,8,18,18,13,12,8,,X004IWYKL7,FBA19QHGWM04U000544,
51791,40,ARIZONA BF BLACK,453906,9,4013871059691,736399059694,12,18,18,13,18,12,,X0054OCU8D,FBA19QHGWM04U000189,
51791,42,ARIZONA BF BLACK,453906,10,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000360,
151181,39,ARIZONA BFBC MOCCA,453906,11,4040714059181,809410059185,12,18,18,13,18,12,,X004WEBIS9,FBA19QHGWM04U000245,
51791,39,ARIZONA BF BLACK,453906,12,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000094,
151181,41,ARIZONA BFBC MOCCA,453906,13,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000268,
51791,41,ARIZONA BF BLACK,453906,14,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000122,
151181,41,ARIZONA BFBC MOCCA,453906,15,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000269,
51791,44,ARIZONA BF BLACK,453906,16,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000014,
1032019,40,ARIZONA BFBC GRAY TAUPE,453906,17,4067707903467,192763097592,12,18,18,13,18,,12,,,
127103,41,BOSTON EVA BLACK,453906,18,4052001652500,886454652503,4,18,18,13,6,4,,X004IX4G3N,FBA19QHGWM04U000560,
1002314,43,BOSTON EVA BLACK,453906,19,4052605465865,886925336772,4,18,18,13,6,4,,X004IWQOGL,FBA19QHGWM04U000572,
1002314,43,BOSTON EVA BLACK,453906,20,4052605465865,886925336772,4,18,18,13,6,4,,X004IWQOGL,FBA19QHGWM04U000573,
1002314,44,BOSTON EVA BLACK,453906,21,4052605465889,886925336789,4,18,18,13,6,4,,X004IXLYCJ,FBA19QHGWM04U000306,
1002314,43,BOSTON EVA BLACK,453906,22,4052605465865,886925336772,4,18,18,13,6,4,,X004IWQOGL,FBA19QHGWM04U000574,
1027382,41,BOSTON EVA EGGSHELL,453906,23,4066648349662,192761925385,4,18,18,13,6,4,,X004IXJJUX,FBA19QHGWM04U000322,
127103,41,BOSTON EVA BLACK,453906,24,4052001652500,886454652503,4,18,18,13,6,4,,X004IX4G3N,FBA19QHGWM04U000561,
151181,41,ARIZONA BFBC MOCCA,453907,1,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000270,
51791,41,ARIZONA BF BLACK,453907,2,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000123,
151181,41,ARIZONA BFBC MOCCA,453907,3,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000271,
51791,41,ARIZONA BF BLACK,453907,4,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000124,
51791,41,ARIZONA BF BLACK,453907,5,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000125,
51791,41,ARIZONA BF BLACK,453907,6,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000126,
151181,41,ARIZONA BFBC MOCCA,453907,7,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000272,
51791,44,ARIZONA BF BLACK,453907,8,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000015,
151181,41,ARIZONA BFBC MOCCA,453907,9,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000273,
51791,41,ARIZONA BF BLACK,453907,10,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000127,
1027382,41,BOSTON EVA EGGSHELL,453907,11,4066648349662,192761925385,4,18,18,13,6,4,,X004IXJJUX,FBA19QHGWM04U000323,
1002314,44,BOSTON EVA BLACK,453907,12,4052605465889,886925336789,4,18,18,13,6,4,,X004IXLYCJ,FBA19QHGWM04U000307,
1027382,41,BOSTON EVA EGGSHELL,453907,13,4066648349662,192761925385,4,18,18,13,6,4,,X004IXJJUX,FBA19QHGWM04U000324,
1027382,41,BOSTON EVA EGGSHELL,453907,14,4066648349662,192761925385,4,18,18,13,6,4,,X004IXJJUX,FBA19QHGWM04U000325,
151181,41,ARIZONA BFBC MOCCA,453907,15,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000274,
151181,41,ARIZONA BFBC MOCCA,453907,16,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000275,
51791,41,ARIZONA BF BLACK,453907,17,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000128,
1032019,41,ARIZONA BFBC GRAY TAUPE,453907,18,4067707903504,192763097622,8,18,18,13,12,8,,X005BBG5FD,FBA19QHGWM04U000336,
51791,41,ARIZONA BF BLACK,453907,19,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000129,
129421,41,ARIZONA EVA BLACK,453907,20,4052001426484,886454426487,12,18,18,13,18,12,,X004IX6ZFP,FBA19QHGWM04U000518,
51791,41,ARIZONA BF BLACK,453907,21,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000130,
860131,39,BOSTON NU OILED HABANA,453907,22,4040714438153,809410438157,12,18,18,13,18,12,,X005BBE3BB,FBA19QHGWM04U000459,
129423,37,ARIZONA EVA BLACK,453907,23,4052001424626,886454424629,12,18,18,13,18,12,,X004IWNX6P,FBA19QHGWM04U000487,
51791,41,ARIZONA BF BLACK,453907,24,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000131,
151181,39,ARIZONA BFBC MOCCA,453908,1,4040714059181,809410059185,12,18,18,13,18,12,,X004WEBIS9,FBA19QHGWM04U000246,
51791,41,ARIZONA BF BLACK,453908,2,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000132,
129421,43,ARIZONA EVA BLACK,453908,3,4052001426507,886454426500,8,18,18,13,12,8,,X004IXFTDJ,FBA19QHGWM04U000534,
51791,41,ARIZONA BF BLACK,453908,4,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000133,
1029744,38,ARIZONA SB EVA SURF GREEN,453908,5,4067707144587,192762526055,12,18,18,13,18,12,,X005BAUZT1,FBA19QHGWM04U000332,
51791,41,ARIZONA BF BLACK,453908,6,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000134,
129443,40,ARIZONA EVA WHITE,453908,7,4052001424893,886454424896,12,18,18,13,18,12,,X004IX6PF5,FBA19QHGWM04U000506,
1002314,43,BOSTON EVA BLACK,453908,8,4052605465865,886925336772,4,18,18,13,6,4,,X004IWQOGL,FBA19QHGWM04U000575,
127103,41,BOSTON EVA BLACK,453908,9,4052001652500,886454652503,4,18,18,13,6,4,,X004IX4G3N,FBA19QHGWM04U000562,
1002314,44,BOSTON EVA BLACK,453908,10,4052605465889,886925336789,4,18,18,13,6,4,,X004IXLYCJ,FBA19QHGWM04U000308,
1027382,41,BOSTON EVA EGGSHELL,453908,11,4066648349662,192761925385,4,18,18,13,6,4,,X004IXJJUX,FBA19QHGWM04U000326,
